,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR
Trend Following,2280154793.55,2088.36,264.42,7.89,,,,,
Event-Driven Trading,1893062547.75,2061.74,261.61,7.87,,,,,
Evaluation Metrics,,,,,,90518383.47597823,8014.821045665669,0.6131128408490727,2.16452166540155
